year,river,run,lat,long,z_score_lat,day_of_yr
2004,East Fork Andreafsky River,even,62.11745278,162.8026472,1.790508249,199.2723784
2004,Hugh Smith,even,55.09679444,130.7146639,-1.330938846,241.5751834
2004,Litnik,even,58.08005,152.8184972,-0.004556911,214.0727755
2004,Nass Gitwinksihlkw,even,55.192297,129.221854,-1.288477561,218.8074189
2004,Auke Creek,even,58.38052222,134.6422139,0.12903571,242.9372282
2004,Tuluksak River weir,even,61.04401667,160.58415,1.313249013,209
2004,Karluk,even,57.56256111,154.3904528,-0.23463707,233.4013396
2004,Buskin,even,57.77676111,152.5370806,-0.139401846,233.0546225
2005,Hugh Smith,odd,55.09679444,130.7146639,-1.330938846,238.4964626
2005,Ayakulik,odd,57.19558333,154.5353167,-0.397798652,227.7773639
2005,Kogrukluk River,odd,60.85080583,157.849982,1.227345759,199.0348944
2005,Karluk,odd,57.56256111,154.3904528,-0.23463707,236.9783071
2005,Auke Creek,odd,58.38052222,134.6422139,0.12903571,230.1175017
2005,Buskin,odd,57.77676111,152.5370806,-0.139401846,227.2932406
2005,Chilkoot Lake,odd,59.321025,135.5558722,0.547191604,221.1086073
2005,Tuluksak River weir,odd,61.04401667,160.58415,1.313249013,201
2005,Litnik,odd,58.08005,152.8184972,-0.004556911,230.4336714
2005,Deshka,odd,61.70486389,150.3226389,1.607067562,212.3245516
2005,East Fork Andreafsky River,odd,62.11745278,162.8026472,1.790508249,195.412116
2005,Yukon River Pilot Station,odd,61.94334722,162.8684389,1.713099371,204.1893111
2005,North River,odd,63.53168,160.3948398,2.419286241,194.972805
2005,Babine,odd,55.32963611,126.6314611,-1.227415371,230.6910951
2005,Nass Gitwinksihlkw,odd,55.192297,129.221854,-1.288477561,214.2831366
2005,Situk Lower,odd,59.44026667,139.5619222,0.600207509,206.0627657
2006,Kanektok River,even,59.7702,161.0668333,0.746898801,235.936042
2006,Olga Creek Upper Station,even,57.05531944,154.3618972,-0.460161223,235.5673884
2006,Salmon River,even,62.88924167,154.5371417,2.133652448,200.0144077
2006,Buskin,even,57.77676111,152.5370806,-0.139401846,232.2718743
2006,Chilkoot Lake,even,59.321025,135.5558722,0.547191604,223.9220971
2006,Ilnik River,even,56.61184167,159.5620556,-0.657335385,186.4746741
2006,Auke Creek,even,58.38052222,134.6422139,0.12903571,230.7044453
2006,Hugh Smith,even,55.09679444,130.7146639,-1.330938846,243.4000936
2006,Kogrukluk River,even,60.85080583,157.849982,1.227345759,221.2301701
2006,Tatlawiksuk River,even,61.91911944,156.2426972,1.702327486,205.1004589
2006,George River,even,61.92531111,157.7014667,1.705080356,200.5829555
2006,Litnik,even,58.08005,152.8184972,-0.004556911,212.8128113
2006,Nass Gitwinksihlkw,even,55.192297,129.221854,-1.288477561,218.7935013
2006,Kwethluk River,even,60.50156389,161.1190611,1.072069687,203
2006,Sandy River,even,56.22445833,160.07385,-0.829569458,187.2935492
2006,Tuluksak River weir,even,61.04401667,160.58415,1.313249013,198
2006,Chignik River,even,56.25600556,158.7328278,-0.815543283,234.678908
2006,Deshka,even,61.70486389,150.3226389,1.607067562,210.6054987
2006,North River,even,63.53168,160.3948398,2.419286241,190.5630603
2006,Ayakulik,even,57.19558333,154.5353167,-0.397798652,223.32675
2006,Babine,even,55.32963611,126.6314611,-1.227415371,233.4945643
2006,Yukon River Pilot Station,even,61.94334722,162.8684389,1.713099371,193.5191976
2006,Karluk,even,57.56256111,154.3904528,-0.23463707,235.9280326
2006,East Fork Andreafsky River,even,62.11745278,162.8026472,1.790508249,198.7676612
2007,Olga Creek Upper Station,odd,57.05531944,154.3618972,-0.460161223,245.2905785
2007,Chilkoot Lake,odd,59.321025,135.5558722,0.547191604,233.039663
2007,Ilnik River,odd,56.61184167,159.5620556,-0.657335385,196.799851
2007,Bear River,odd,56.03693889,160.2689722,-0.91294227,220.196088
2007,George River,odd,61.92531111,157.7014667,1.705080356,205.6619155
2007,Auke Creek,odd,58.38052222,134.6422139,0.12903571,243.5047198
2007,Nelson River Sapsuk,odd,55.87775278,161.3272139,-0.98371783,203.1805279
2007,North River,odd,63.53168,160.3948398,2.419286241,201.7131981
2007,Sandy River,odd,56.22445833,160.07385,-0.829569458,194.113875
2007,Situk Lower,odd,59.44026667,139.5619222,0.600207509,219.6534854
2007,Chignik River,odd,56.25600556,158.7328278,-0.815543283,241.3737414
2007,Buskin,odd,57.77676111,152.5370806,-0.139401846,228.2219919
2007,Kanektok River,odd,59.7702,161.0668333,0.746898801,246.0588506
2007,Nass Gitwinksihlkw,odd,55.192297,129.221854,-1.288477561,219.8378925
2007,Yukon River Pilot Station,odd,61.94334722,162.8684389,1.713099371,205.2506291
2007,Goodnews River,odd,59.16493333,161.4608611,0.477791862,209.240732
2007,Hugh Smith,odd,55.09679444,130.7146639,-1.330938846,242.7805304
2007,Deshka,odd,61.70486389,150.3226389,1.607067562,215.2425815
2007,Ayakulik,odd,57.19558333,154.5353167,-0.397798652,232.066917
2007,Babine,odd,55.32963611,126.6314611,-1.227415371,238.500742
2007,Karluk,odd,57.56256111,154.3904528,-0.23463707,245.3453548
2007,Kwethluk River,odd,60.50156389,161.1190611,1.072069687,207
2007,Litnik,odd,58.08005,152.8184972,-0.004556911,218.7953767
2007,Tatlawiksuk River,odd,61.91911944,156.2426972,1.702327486,203.9997252
2007,Tuluksak River weir,odd,61.04401667,160.58415,1.313249013,210
2007,Dog Salmon River,odd,57.12766667,154.0369861,-0.427995005,219.1626836
2007,Salmon River,odd,62.88924167,154.5371417,2.133652448,201.1360235
2008,Kwethluk River,even,60.50156389,161.1190611,1.072069687,216
2008,Olga Creek Upper Station,even,57.05531944,154.3618972,-0.460161223,225.476185
2008,Yukon River Pilot Station,even,61.94334722,162.8684389,1.713099371,189.810837
2008,Salmon River,even,62.88924167,154.5371417,2.133652448,216.346635
2008,Auke Creek,even,58.38052222,134.6422139,0.12903571,235.0539864
2008,Chilkoot Lake,even,59.321025,135.5558722,0.547191604,229.7948761
2008,Bear River,even,56.03693889,160.2689722,-0.91294227,221.9452675
2008,Nass Gitwinksihlkw,even,55.192297,129.221854,-1.288477561,225.5174378
2008,Deshka,even,61.70486389,150.3226389,1.607067562,211.9710624
2008,Buskin,even,57.77676111,152.5370806,-0.139401846,225.3783258
2008,Kanektok River,even,59.7702,161.0668333,0.746898801,232.0356894
2008,Chignik River,even,56.25600556,158.7328278,-0.815543283,224.6483573
2008,Hugh Smith,even,55.09679444,130.7146639,-1.330938846,240.8689818
2008,Kogrukluk River,even,60.85080583,157.849982,1.227345759,220.8244457
2008,North River,even,63.53168,160.3948398,2.419286241,196.7309315
2008,Tuluksak River weir,even,61.04401667,160.58415,1.313249013,203
2008,Litnik,even,58.08005,152.8184972,-0.004556911,205.061713
2008,Nelson River Sapsuk,even,55.87775278,161.3272139,-0.98371783,202.150735
2008,Goodnews River,even,59.16493333,161.4608611,0.477791862,216.4650309
2008,Tatlawiksuk River,even,61.91911944,156.2426972,1.702327486,209.623687
2008,Karluk,even,57.56256111,154.3904528,-0.23463707,232.967783
